countryName,ClimateChange,BetterTransport,SupportWork,AccessWater,BetterHealthcare,GoodEducation,ResponsiveGovernment,PhoneInternet,ReliableEnergy,AffordableFood,ProtectingForests,PoliticalFreedoms,ProtectionCrime,FreedomDiscrimination,Equality,BetterJob,Continent,Population
Nicaragua,16,13,10,8,3,1,9,6,15,5,12,4,14,11,7,2,North America,6082.032
Niger,7,14,11,4,2,1,3,9,10,5,12,6,16,14,13,7,Africa,19899.12
Nigeria,16,4,10,8,2,1,6,11,9,7,15,12,5,13,14,3,Africa,182201.962
Norway,4,15,12,2,11,1,3,14,16,10,9,6,8,5,7,13,EUROPE,5210.967
Oman,15,12,9,11,6,3,2,13,16,10,14,4,7,5,8,1,Asia,4490.541
Pakistan,16,13,6,9,4,1,3,11,12,7,14,5,15,8,10,2,Asia,188924.874
Palau,6,14,15,2,4,6,5,10,8,2,1,9,10,10,15,10,Oceiana ,21.291
Palestine (State of),16,13,6,8,4,2,5,14,12,7,15,3,10,11,9,1,Oceiana ,21.291
Panama,8,12,16,7,5,1,4,15,13,2,3,6,14,11,10,9,North America,3929.141
Papua New Guinea,12,9,15,7,2,1,3,13,16,11,7,4,14,10,5,6,Austrailaia ,7619.321
Paraguay,14,2,13,10,3,1,7,15,16,11,8,9,12,6,5,4,South America,6639.123
Peru,12,13,11,7,2,1,5,14,15,8,6,3,16,10,9,4,South America,31376.67
Philippines,10,13,9,7,2,1,4,14,12,5,8,6,16,11,15,3,Asia,100699.395
Poland,12,13,15,8,2,1,4,14,16,9,6,3,11,7,10,5,EUROPE,38611.794
Portugal,10,16,12,4,3,1,2,15,14,7,6,5,13,8,11,9,EUROPE,10349.803
Qatar,14,13,8,7,2,1,4,12,16,6,9,5,15,10,11,3,Asia,2235.355
"Korea, Republic of ",15,14,8,6,4,5,2,16,13,10,7,1,12,3,11,9,Asia,2235.355
Republic of Moldova,12,6,11,9,1,2,3,16,14,10,7,5,15,8,13,4,Asia,2235.355
Romania,10,11,13,8,2,1,3,15,16,7,6,5,14,9,12,4,EUROPE,19511.324
Russian Federation,15,9,13,7,2,1,3,10,14,6,5,4,11,8,16,12,Africa,861.154
Rwanda,16,15,12,8,3,1,10,7,11,4,13,5,14,6,9,2,Africa,11609.666
Saint Kitts and Nevis,10,11,14,9,1,2,2,14,16,6,8,4,11,6,11,5,North America,55.572
Saint Lucia,10,14,12,11,4,1,6,14,16,5,7,1,13,8,9,3,North America,184.999
